feature,score
PSHFlagCount,402748.5132687181
MinPacketLength,95775.87227018316
BwdPacketLengthMin,54978.6228541044
AveragePacketSize,53074.61301472384
FwdPacketLengthMin,50416.44262996438
ACKFlagCount,48311.34066747456
min_seg_size_forward,46928.45053504069
PacketLengthMean,45704.29466721029
AvgBwdSegmentSize,38522.58273482573
BwdPacketLengthMean,38522.58273482573
PacketLengthStd,34698.00404308126
MaxPacketLength,31400.129459900934
Down/UpRatio,30000.297016703043
BwdPacketLengthMax,29385.757882288104
AvgFwdSegmentSize,27817.096879193912
FwdPacketLengthMean,27817.096879193912
Init_Win_bytes_forward,26716.664378282505
BwdPacketLengthStd,24273.358129210363
FwdPacketLengthMax,18314.635169099653
FlowDuration,17943.119783183483
FwdIATTotal,17271.242386586036
BwdIATTotal,16147.5463745727
URGFlagCount,14160.613092132578
FwdPacketLengthStd,13345.205515066662
PacketLengthVariance,12860.775290365309
FwdIATStd,11622.231687193682
FlowIATMax,11092.22480957741
FwdIATMax,10504.377725180233
IdleMax,9217.5021073316
IdleMean,9110.06601891471
BwdIATMax,8645.003395010108
IdleMin,8550.133762086505
BwdIATStd,8193.357364950103
BwdPackets/s,8126.68836737278
FlowIATStd,7813.601889674765
FlowIATMean,6542.405615344634
FwdPSHFlags,6269.505605249406
SYNFlagCount,6269.505605249406
Init_Win_bytes_backward,6236.413573423508
SubflowFwdPackets,4814.700679949549
TotalFwdPackets,4814.700679949549
TotalLengthofFwdPackets,4263.20181060726
SubflowFwdBytes,4263.20181060726
FwdHeaderLength.1,4234.784693100119
FwdHeaderLength,4234.784693100119
act_data_pkt_fwd,4158.075189943077
FwdIATMean,3976.8777947626104
BwdIATMean,3838.286052711979
ActiveMax,3084.7631715880693
BwdHeaderLength,2894.938140888164
SubflowBwdPackets,2429.9091827323427
TotalBackwardPackets,2429.9091827323427
FINFlagCount,2342.523974234722
ActiveStd,2066.7719105296906
BwdIATMin,1418.0590452524614
ActiveMean,1404.7072643309
FwdIATMin,1168.7556979936494
FwdPackets/s,1081.7128636778023
TotalLengthofBwdPackets,857.4517294595823
SubflowBwdBytes,857.4517294595823
IdleStd,722.7886188903105
ActiveMin,677.3670556991385
DestinationPort,452.9718905901681
FlowBytes/s,352.9343147457565
FlowIATMin,271.0369035044019
ECEFlagCount,19.93889611706095
RSTFlagCount,19.93889611706095
FlowPackets/s,4.732958314690693
